品种：苹果AP     日期：2021-04-06,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
合计,,"6,885",144,,"6,725",185
品种：普麦PM     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,中州期货,12,0,华融融达期货,25,0
2,福能期货,7,0,东航期货,5,0
3,国投安信期货,4,0,中州期货,2,0
4,招商期货,3,0,海通期货,1,0
5,中辉期货,3,0,国投安信期货,0,0
6,徽商期货,2,0,招商期货,0,0
7,海通期货,1,0,徽商期货,0,0
8,财信期货,1,0,福能期货,0,0
9,华融融达期货,0,0,五矿经易期货,0,0
10,东航期货,0,0,中辉期货,0,0
11,五矿经易期货,0,-2,财信期货,0,-2
合计,,33,-2,,33,-2
品种：菜粕RM     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,中信期货,"36,982","-2,281",中粮期货,"63,859","3,945"
2,国泰君安,"27,649",-594,光大期货,"42,411","2,392"
3,中粮期货,"26,961","4,165",中信期货,"23,136",-169
4,华泰期货,"21,500","-2,756",国泰君安,"22,517",-593
5,东证期货,"20,176","-8,230",兴证期货,"20,559",-413
6,永安期货,"17,792",-397,鲁证期货,"18,253",-557
7,海通期货,"14,613","-1,406",华泰期货,"18,229",961
8,申银万国,"14,483",-499,浙商期货,"17,398",72
9,美尔雅,"12,508",-91,国投安信期货,"16,370",483
10,徽商期货,"11,458","1,253",徽商期货,"13,582",-507
11,新湖期货,"10,964",319,东证期货,"12,643",-569
12,宏源期货,"10,460","1,532",西部期货,"12,568",-22
13,海证期货,"9,421",895,瑞达期货,"10,088",-324
14,中投天琪,"9,345",-253,华安期货,"9,307",-720
15,五矿经易期货,"9,310",693,美尔雅,"8,434",632
16,方正中期,"8,974",719,广发期货,"8,200",465
17,国投安信期货,"8,798",-54,宏源期货,"8,183",63
18,瑞达期货,"8,602",-774,银河期货,"7,855",-955
19,创元期货,"8,348",70,弘业期货,"7,255",126
20,兴证期货,"8,085",-725,中信建投,"6,802","-1,791"
合计,,"296,429","-8,414",,"347,649","2,519"
品种：菜籽RS     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,大有期货,24,4,长江期货,35,5
2,华闻期货,7,-3,国投安信期货,3,0
3,财信期货,5,2,鲁证期货,2,0
4,创元期货,3,-2,华泰期货,1,0
5,招金期货,3,3,招商期货,1,1
6,民生期货,2,0,方正中期,1,-1
7,广发期货,2,0,中原期货,1,0
8,新纪元期货,1,0,光大期货,1,0
9,招商期货,1,1,浙商期货,1,0
10,华泰期货,0,0,华安期货,1,0
11,国投安信期货,0,0,首创期货,1,0
12,弘业期货,0,0,新纪元期货,0,0
13,方正中期,0,0,弘业期货,0,0
14,鲁证期货,0,0,创元期货,0,0
15,长江期货,0,0,招金期货,0,0
16,中原期货,0,0,美尔雅,0,-1
17,美尔雅,0,0,东航期货,0,0
18,光大期货,0,0,民生期货,0,0
19,浙商期货,0,0,大有期货,0,0
20,东航期货,0,-1,广发期货,0,0
合计,,48,4,,48,4
品种：纯碱SA     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
1,国泰君安,"43,246","2,675",永安期货,"35,185",126
2,永安期货,"22,172","2,400",广发期货,"17,346",805
3,中信期货,"15,787","-2,151",中信期货,"17,005","2,377"
4,光大期货,"14,264","-13,805",国泰君安,"16,658","3,124"
5,方正中期,"13,345","1,804",华泰期货,"16,570",-754
6,申银万国,"11,643",149,光大期货,"15,955","-14,482"
7,中粮期货,"11,023",-553,中粮期货,"14,592","-1,277"
8,五矿经易期货,"10,810",394,东证期货,"13,440","-7,469"
9,国投安信期货,"9,378",388,国投安信期货,"11,572",-69
10,华安期货,"9,063","1,377",宝城期货,"11,219",205
11,东证期货,"9,000","-8,804",五矿经易期货,"10,773","1,547"
12,建信期货,"8,498",3,南华期货,"10,291",-186
13,徽商期货,"8,356",773,银河期货,"8,781",519
14,瑞达期货,"8,262",957,中信建投,"8,030","2,437"
15,华融融达期货,"8,072",252,浙商期货,"8,028",-402
16,银河期货,"7,989",14,鲁证期货,"7,229","1,014"
17,海证期货,"7,414",718,徽商期货,"7,133",824
18,华泰期货,"7,400","-2,275",大地期货,"6,993",29
19,混沌天成期货,"7,223","2,310",瑞达期货,"6,901","1,155"
20,浙商期货,"6,984",705,海通期货,"6,474",-440
合计,,"239,929","-12,669",,"250,175","-10,917"
品种：硅铁SF     日期：2021-04-06,,,,,,
名次,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
